id,spelling,char_set_str
7027,ecdysis,cdeisy
7028,eclat,acelt
7029,eclectic,ceilt
7030,eclecticism,ceilmst
7031,eclogue,ceglou
7032,ecologist,cegilost
7033,ecstasy,acesty
7034,ecstatic,aceist
7035,ecumenical,aceilmnu
7036,eddy,dey
7037,edgy,degy
7038,edict,cdeit
7039,edifice,cdefi
7040,edify,defiy
7041,eerie,eir
7042,efface,acef
7043,effeminate,aefimnt
7044,effervesce,cefrsv
7045,effete,eft
7046,efficacious,acefiosu
7047,efficacy,acefiy
7048,effigy,efgiy
7049,effluvia,aefiluv
7050,effrontery,efnorty
7051,effulgent,efglntu
7052,egalitarian,aegilnrt
7053,egocentric,ceginort
7054,egoism,egimos
7055,egotist,egiost
7056,egregious,egiorsu
7057,egress,egrs
7058,ejaculate,acejltu
7059,elaboration,abeilnort
7060,elated,adelt
7061,electorate,acelort
7062,elegy,egly
7063,elephantine,aehilnpt
7064,elicit,ceilt
7065,elixir,eilrx
7066,ellipsis,eilps
7067,elliptical,aceilpt
7068,elm,elm
7069,elocution,ceilnotu
7070,elongate,aeglnot
7071,eloquence,celnoqu
7072,elucidate,acdeiltu
7073,elude,delu
7074,elusive,eilsuv
7075,elysian,aeilnsy
7076,emaciate,aceimt
7077,emaciation,aceimnot
7078,emanate,aemnt
7079,emancipate,aceimnpt
7080,emasculate,acelmstu
7081,embankment,abekmnt
7082,embargo,abegmor
7083,embellish,behilms
7084,embezzlement,belmntz
7085,embitter,beimrt
7086,emblazon,abelmnoz
7087,emblematic,abceilmt
7088,embodiment,bdeimnot
7089,embolden,bdelmno
7090,emboss,bemos
7091,embroider,bdeimor
7092,embroil,beilmor
7093,embryonic,bceimnory
7094,emend,demn
7095,emerald,adelmr
7096,eminence,ceimn
7097,emissary,aeimrsy
7098,emollient,eilmnot
7099,emolument,elmnotu
7100,emote,emot
7101,empathy,aehmpty
7102,emphatic,acehimpt
7103,empiricism,ceimprs
7104,empower,emoprw
7105,empyreal,aelmpry
7106,empyrean,aemnpry
7107,emulate,aelmtu
7108,emulsify,efilmsuy
7109,enact,acent
7110,enamel,aelmn
7111,enamored,ademnor
7112,encapsulate,acelnpstu
7113,enchant,acehnt
7114,encipher,cehinpr
7115,encomiast,aceimnost
7116,encomiastic,aceimnost
7117,encomium,ceimnou
7118,encompass,acemnops
7119,encroach,acehnor
7120,encumber,bcemnru
7121,encyclopedic,cdeilnopy
7122,endearing,adeginr
7123,endemic,cdeimn
7124,endorse,denors
7125,endue,denu
7126,enduring,deginru
7127,enervate,aenrtv
7128,enfeeble,befln
7129,enfetter,efnrt
7130,enflame,aeflmn
7131,engaged,adegn
7132,engaging,aegin
7133,engender,degnr
7134,engrave,aegnrv
7135,engross,egnors
7136,engrossment,egmnorst
7137,engulf,efglnu
7138,enjoin,eijno
7139,enlightening,eghilnt
7140,enlist,eilnst
7141,enliven,eilnv
7142,enmesh,ehmns
7143,enmity,eimnty
7144,ennoble,belno
7145,ennui,einu
7146,enormity,eimnorty
7147,enrage,aegnr
7148,enrapture,aenprtu
7149,ensconce,cenos
7150,ensemble,belmns
7151,enshrine,ehinrs
7152,ensign,egins
7153,enslave,aelnsv
7154,ensnare,aenrs
7155,ensue,ensu
7156,entangle,aeglnt
7157,enthrall,aehlnrt
7158,enthralling,aeghilnrt
7159,entice,ceint
7160,entirety,einrty
7161,entourage,aegnortu
7162,entrancing,aceginrt
7163,entreat,aenrt
7164,entreaty,aenrty
7165,entrench,cehnrt
7166,entrust,enrstu
7167,entrée,enrté
7168,entwine,eintw
7169,enumerate,aemnrtu
7170,enunciate,aceintu
7171,environ,einorv
7172,environs,einorsv
7173,envision,einosv
7174,enzyme,emnyz
7175,epaulet,aelptu
7176,ephemeral,aehlmpr
7177,epic,ceip
7178,epicure,ceipru
7179,epicurean,aceinpru
7180,epideictic,cdeipt
7181,epidermis,deimprs
7182,epigram,aegimpr
7183,epilogue,egilopu
7184,episodic,cdeiops
7185,epistolary,aeiloprsty
7186,epitaph,aehipt
7187,epithet,ehipt
7188,epitome,eimopt
7189,epitomize,eimoptz
7190,equable,abelqu
7191,equanimity,aeimnqtuy
7192,equate,aeqtu
7193,equestrian,aeinqrstu
7194,equilibrium,beilmqru
7195,equine,einqu
7196,equity,eiqtuy
7197,equivocate,aceioqtuv
7198,equivocation,aceinoqtuv
7199,eradicate,acdeirt
7200,erasure,aersu
7201,err,er
7202,errand,adenr
7203,erratic,aceirt
7204,ersatz,aerstz
7205,erstwhile,ehilrstw
7206,erudite,deirtu
7207,escalation,aceilnost
7208,escapism,aceimps
7209,eschew,cehsw
7210,esophagus,aeghopsu
7211,esoteric,ceiorst
7212,espionage,aeginops
7213,espousal,aelopsu
7214,espouse,eopsu
7215,espy,epsy
7216,estimable,abeilmst
7217,estrange,aegnrst
7218,estranged,adegnrst
7219,estuary,aerstuy
7220,etch,ceht
7221,etching,ceghint
7222,ethereal,aehlrt
7223,ethics,cehist
7224,ethnology,eghlnoty
7225,ethos,ehost
7226,etiquette,eiqtu
7227,etymology,eglmoty
7228,eucalyptus,acelpstuy
7229,eugenic,ceginu
7230,eulogistic,cegilostu
7231,eulogize,egilouz
7232,eulogy,eglouy
7233,euphemism,ehimpsu
7234,euphonious,ehinopsu
7235,euphoria,aehiopru
7236,evaluation,aeilnotuv
7237,evanescent,acenstv
7238,evasion,aeinosv
7239,evasive,aeisv
7240,even-tempered,-demnprtv
7241,evenhanded,adehnv
7242,everlasting,aegilnrstv
7243,evict,ceitv
7244,eviction,ceinotv
7245,evildoer,deilorv
7246,evince,ceinv
7247,eviscerate,aceirstv
7248,evocative,aceiotv
7249,ewe,ew
7250,ewer,erw
7251,exacerbate,abcertx
7252,exacting,acegintx
7253,exactitude,acdeitux
7254,exaggeration,aeginortx
7255,exalt,aeltx
7256,exaltation,aeilnotx
7257,exasperate,aeprstx
7258,excavate,acetvx
7259,exceptionable,abceilnoptx
7260,exchequer,cehqrux
7261,excise,ceisx
7262,excitability,abceiltxy
7263,exclamation,aceilmnotx
7264,excogitate,acegiotx
7265,excoriate,aceiortx
7266,excrete,certx
7267,excruciate,aceirtux
7268,exculpate,acelptux
7269,excursive,ceirsuvx
7270,execrable,abcelrx
7271,execrate,acertx
7272,execration,aceinortx
7273,exemplary,aelmprxy
7274,exhale,aehlx
7275,exhaustive,aehistuvx
7276,exhilarate,aehilrtx
7277,exhilaration,aehilnortx
7278,exhort,ehortx
7279,exhume,ehmux
7280,exigent,egintx
7281,exiguous,egiosux
7282,existential,aeilnstx
7283,exodus,deosux
7284,exonerate,aenortx
7285,exorbitant,abeinortx
7286,exorcise,ceiorsx
7287,expansive,aeinpsvx
7288,expatiate,aeiptx
7289,expatriate,aeiprtx
7290,expediency,cdeinpxy
7291,expedient,deinptx
7292,expeditious,deiopstux
7293,expiate,aeiptx
7294,expiation,aeinoptx
7295,expiration,aeinoprtx
7296,explicable,abceilpx
7297,explicate,aceilptx
7298,exponent,enoptx
7299,exponentially,aeilnoptxy
7300,exposition,einopstx
7301,expository,eioprstxy
7302,expostulate,aelopstux
7303,expound,denopux
7304,expressly,elprsxy
7305,expropriate,aeioprtx
7306,expulsion,eilnopsux
7307,expunge,egnpux
7308,expurgate,aegprtux
7309,extant,aentx
7310,extemporaneous,aemnoprstux
7311,extemporize,eimoprtxz
7312,extenuate,aentux
7313,exterminate,aeimnrtx
7314,externalize,aeilnrtxz
7315,extinction,ceinotx
7316,extirpation,aeinoprtx
7317,extol,elotx
7318,extort,eortx
7319,extradite,adeirtx
7320,extraneous,aenorstux
7321,extrapolate,aeloprtx
7322,extravagance,acegnrtvx
7323,extremist,eimrstx
7324,extricable,abceilrtx
7325,extricate,aceirtx
7326,extrinsic,ceinrstx
7327,extrovert,eortvx
7328,extrude,dertux
7329,exuberance,abcenrux
7330,exuberant,abenrtux
7331,exude,deux
7332,exult,eltux
7333,exultant,aelntux
7334,facade,acdef
7335,facet,aceft
7336,facetious,acefiostu
7337,facile,acefil
7338,facilities,acefilst
7339,facsimile,acefilms
7340,faction,acfinot
7341,factitious,acfiostu
7342,factorable,abceflort
7343,factotum,acfmotu
7344,factual,acfltu
7345,fad,adf
7346,faddish,adfhis
7347,fag,afg
7348,fail-safe,-aefils
7349,fainthearted,adefhinrt
7350,fair-minded,-adefimnr
7351,falcon,acflno
7352,fallacious,acfilosu
7353,fallacy,acfly
7354,fallibility,abfilty
7355,fallible,abefil
7356,fallow,aflow
7357,falsehood,adefhlos
7358,falsify,afilsy
7359,falter,aeflrt
7360,familiarity,afilmrty
7361,famish,afhims
7362,fanatic,acfint
7363,fancied,acdefin
7364,fanfare,aefnr
7365,fang,afgn
7366,fantasia,afinst
7367,far-reaching,-acefghinr
7368,farce,acefr
7369,farrow,aforw
7370,fascia,acfis
7371,fastidious,adfiostu
7372,fastness,aefnst
7373,fathom,afhmot
7374,fatidic,acdfit
7375,fatten,aefnt
7376,fatuity,afituy
7377,fatuous,afostu
7378,faucet,aceftu
7379,faultfinder,adefilnrtu
7380,fawn,afnw
7381,faze,aefz
7382,fealty,aeflty
7383,febrile,befilr
7384,feckless,cefkls
7385,fecundity,cdefintuy
7386,feign,efgin
7387,feigned,defgin
7388,feint,efint
7389,feisty,efisty
7390,felicitate,acefilt
7391,felicitous,cefilostu
7392,feline,efiln
7393,felon,eflno
7394,felony,eflnoy
7395,feminist,efimnst
7396,fencing,cefgin
7397,fender,defnr
7398,feral,aeflr
7399,ferment,efmnrt
7400,fermentation,aefimnort
7401,fern,efnr
7402,ferocious,cefiorsu
7403,ferret,efrt
7404,ferrous,eforsu
7405,fertilize,efilrtz
7406,fervid,defirv
7407,fervor,eforv
7408,festal,aeflst
7409,fester,efrst
7410,festive,efistv
7411,fetching,cefghint
7412,fetid,defit
7413,fetish,efhist
7414,fetter,efrt
7415,fetus,efstu
7416,feud,defu
7417,fiasco,acfios
7418,fiat,afit
7419,fibrous,bfiorsu
7420,fickle,cefikl
7421,fictitious,cfiostu
7422,fidget,defgit
7423,fiend,defin
7424,fig,fgi
7425,figment,efgimnt
7426,figurative,aefgirtuv
7427,figurehead,adefghiru
7428,figurine,efginru
7429,filament,aefilmnt
7430,filch,cfhil
7431,filial,afil
7432,filibuster,befilrstu
7433,filigree,efgilr
7434,filings,fgilns
7435,fillet,efilt
7436,filly,fily
7437,filth,fhilt
7438,finable,abefiln
7439,finagle,aefgiln
7440,finale,aefiln
7441,finery,efinry
7442,finesse,efins
7443,finicky,cfikny
7444,firearm,aefimr
7445,firebrand,abdefinr
7446,firefly,efilry
7447,fiscal,acfils
7448,fishery,efhirsy
7449,fissile,efils
7450,fissure,efirsu
7451,fitful,filtu
7452,fixate,aefitx
7453,flabby,abfly
7454,flaccid,acdfil
7455,flagellate,aefglt
7456,flagging,afgiln
7457,flaggy,afgly
7458,flagrant,afglnrt
7459,flail,afil
7460,flair,afilr
7461,flak,afkl
7462,flamboyant,abflmnoty
7463,flammable,abeflm
7464,flange,aefgln
7465,flannel,aefln
7466,flask,afkls
7467,flatcar,acflrt
7468,flatten,aeflnt
7469,flatulence,aceflntu
7470,flatulent,aeflntu
7471,flaunt,aflntu
7472,flaunty,aflntuy
7473,flavoring,afgilnorv
7474,flax,aflx
7475,flay,afly
7476,fleck,cefkl
7477,fledge,defgl
7478,fledgling,defgiln
7479,fleece,cefl
7480,fleeting,efgilnt
7481,flick,cfikl
7482,flicker,cefiklr
7483,flighty,fghilty
7484,flimflam,afilm
7485,flimsy,filmsy
7486,flinch,cfhiln
7487,flint,filnt
7488,flip,filp
7489,flippant,afilnpt
7490,flirt,filrt
7491,flit,filt
7492,floodgate,adefglot
7493,floppy,flopy
7494,flora,aflor
7495,florescence,ceflnors
7496,florid,dfilor
7497,flossy,flosy
7498,flounder,deflnoru
7499,flout,flotu
7500,fluffy,fluy
7501,fluke,efklu
7502,flummox,flmoux
7503,flunk,fklnu
7504,fluorescent,ceflnorstu
7505,flustered,deflrstu
7506,flutter,eflrtu
7507,fluvial,afiluv
7508,flux,flux
7509,fodder,defor
7510,foible,befilo
7511,foil,filo
7512,folder,deflor
7513,foliage,aefgilo
7514,folklore,efklor
7515,folksy,fklosy
7516,folly,floy
7517,foment,efmnot
7518,fondle,deflno
7519,foodstuff,dfostu
7520,foolproof,flopr
7521,foothold,dfhlot
7522,footle,eflot
7523,fop,fop
7524,foppish,fhiops
7525,forage,aefgor
7526,forager,aefgor
7527,foray,afory
7528,forbearance,abcefnor
7529,forbidding,bdfginor
7530,ford,dfor
7531,forebear,abefor
7532,forebode,bdefor
7533,foreclose,ceflors
7534,foreknowledge,defgklnorw
7535,forensic,cefinors
7536,foreordain,adefinor
7537,forerunner,efnoru
7538,foreshadow,adefhorsw
7539,foresight,efghiorst
7540,forestall,aeflorst
7541,forestry,eforsty
7542,foreword,deforw
7543,forfeit,efiort
7544,forfeiture,efiortu
7545,forger,efgor
7546,forgery,efgory
7547,forgo,fgor
7548,forlorn,flnor
7549,formality,afilmorty
7550,formative,aefimortv
7551,forsake,aefkors
7552,forswear,aeforsw
7553,fort,fort
7554,forte,efort
7555,forthright,fghiort
7556,fortify,fiorty
7557,fortitude,defiortu
7558,fortuitous,fiorstu
7559,fosse,efos
7560,fossilize,efilosz
7561,founder,defnoru
7562,four-poster,-efoprstu
7563,foyer,efory
7564,fracas,acfrs
7565,fractional,acfilnort
7566,fractious,acfiorstu
7567,fragrance,acefgnr
7568,frail,afilr
7569,frantic,acfinrt
7570,fraternal,aeflnrt
7571,fraternity,aefinrty
7572,fraudulent,adeflnrtu
7573,fraught,afghrtu
7574,fray,afry
7575,freak,aefkr
7576,freckle,cefklr
7577,freelancer,aceflnr
7578,freestanding,adefginrst
7579,frenetic,cefinrt
7580,frenzy,efnryz
7581,fresco,cefors
7582,fret,efrt
7583,fretwork,efkortw
7584,friable,abefilr
7585,frieze,efirz
7586,frigid,dfgir
7587,frigidity,dfgirty
7588,frisk,fikrs
7589,frisky,fikrsy
7590,fritter,efirt
7591,frivolous,filorsuv
7592,frolic,cfilor
7593,frolicsome,cefilmors
7594,frond,dfnor
7595,frothy,fhorty
7596,frowzy,forwyz
7597,fructify,cfirtuy
7598,frugal,afglru
7599,fruition,finortu
7600,frumpy,fmpruy
7601,fuddle,deflu
7602,fulcrum,cflmru
7603,fulfil,filu
7604,full-blown,-bflnouw
7605,full-bodied,-bdefilou
7606,full-fledged,-defglu
7607,fulminate,aefilmntu
7608,fulsome,eflmosu
7609,fumble,beflmu
7610,fumigate,aefgimtu
7611,functional,acfilnotu
7612,functionary,acfinortuy
7613,funereal,aeflnru
7614,fungi,fginu
7615,fungicide,cdefginu
7616,funky,fknuy
7617,furbish,bfhirsu
7618,furor,foru
7619,furrow,foruw
7620,furtive,efirtuv
7621,fury,fruy
7622,fusillade,adefilsu
7623,fusion,finosu
7624,fussy,fsuy
7625,fustian,afinstu
7626,fusty,fstuy
7627,futility,filtuy
7628,gab,abg
7629,gabble,abegl
7630,gabby,abgy
7631,gadfly,adfgly
7632,gadget,adegt
7633,gaffe,aefg
7634,gag,ag
7635,gaggle,aegl
7636,gaiety,aegity
7637,gainsay,aginsy
7638,gait,agit
7639,gale,aegl
7640,gall,agl
7641,gallant,aglnt
7642,galley,aegly
7643,gallows,aglosw
7644,galvanize,aegilnvz
7645,gambol,abglmo
7646,gamut,agmtu
7647,gander,adegnr
7648,gangling,agiln
7649,gangly,aglny
7650,gangrene,aegnr
7651,gangway,agnwy
7652,gape,aegp
7653,garble,abeglr
7654,garbled,abdeglr
7655,gardenia,adeginr
7656,gargantuan,agnrtu
7657,gargoyle,aeglory
7658,garish,aghirs
7659,garland,adglnr
7660,garner,aegnr
7661,garnish,aghinrs
7662,garret,aegrt
7663,garrulity,agilrtuy
7664,garrulous,aglorsu
7665,gaseous,aegosu
7666,gash,aghs
7667,gasification,acfginost
7668,gastric,acgirst
7669,gastritis,agirst
7670,gastronomy,agmnorsty
7671,gauche,aceghu
7672,gaucherie,aceghiru
7673,gaudy,adguy
7674,gaunt,agntu
7675,gavel,aeglv
7676,gawky,agkwy
7677,gazetteer,aegrtz
7678,gem,egm
7679,genealogy,aeglnoy
7680,generality,aegilnrty
7681,generic,ceginr
7682,generosity,eginorsty
7683,genesis,egins
7684,genetics,ceginst
7685,genial,aegiln
7686,genome,egmno
7687,genre,egnr
7688,genteel,eglnt
7689,gentry,egnrty
7690,genuflect,cefglntu
7691,genus,egnsu
7692,geometrician,acegimnort
7693,germane,aegmnr
7694,germicide,cdegimr
7695,germinate,aegimnrt
7696,gerontocracy,acegnorty
7697,gerontology,eglnorty
7698,gerrymander,adegmnry
7699,gestate,aegst
7700,gesticulate,acegilstu
7701,geyser,egrsy
7702,ghastly,aghlsty
7703,gibe,begi
7704,giddy,dgiy
7705,gild,dgil
7706,gimmick,cgikm
7707,ginger,eginr
7708,gingerly,egilnry
7709,girder,degir
7710,girdle,degilr
7711,girth,ghirt
7712,gist,gist
7713,glacial,acgil
7714,glade,adegl
7715,gladiator,adgilort
7716,glamorous,aglmorsu
7717,glaze,aeglz
7718,gleam,aeglm
7719,glean,aegln
7720,glee,egl
7721,glib,bgil
7722,glimmer,egilmr
7723,glisten,egilnst
7724,glitch,cghilt
7725,gloaming,agilmno
7726,gloat,aglot
7727,gloom,glmo
7728,glorify,fgilory
7729,gloss,glos
7730,gloss-over,-eglorsv
7731,glossary,aglorsy
7732,glossy,glosy
7733,glower,eglorw
7734,glowing,gilnow
7735,glucose,ceglosu
7736,glut,gltu
7737,glutinous,gilnostu
7738,gluttonous,glnostu
7739,gnarled,adeglnr
7740,gnat,agnt
7741,gnaw,agnw
7742,gnawing,aginw
7743,gnome,egmno
7744,gnomic,cgimno
7745,goad,adgo
7746,gobble,beglo
7747,goblet,beglot
7748,goggle,eglo
7749,goldbrick,bcdgiklor
7750,gong,gno
7751,goodwill,dgilow
7752,goof,fgo
7753,gorge,egor
7754,gorilla,agilor
7755,gormandize,adegimnorz
7756,gosling,gilnos
7757,gospel,eglops
7758,gossamer,aegmors
7759,gouge,egou
7760,gourmand,adgmnoru
7761,gourmet,egmortu
7762,governance,acegnorv
7763,gracile,acegilr
7764,gradation,adginort
7765,graduated,adegrtu
7766,graft,afgrt
7767,granary,agnry
7768,grandeur,adegnru
7769,grandiose,adeginors
7770,grandstand,adgnrst
7771,granite,aeginrt
7772,granulate,aeglnrtu
7773,granule,aeglnru
7774,graphite,aeghiprt
7775,grasping,aginprs
7776,grate,aegrt
7777,gratification,acfginort
7778,gratify,afgirty
7779,grating,aginrt
7780,gratis,agirst
7781,gratuitous,agiorstu
7782,gratuity,agirtuy
7783,gravel,aeglrv
7784,gravitate,aegirtv
7785,gravitational,agilnortv
7786,greenhorn,eghnor
7787,gregarious,aegiorsu
7788,gregariousness,aeginorsu
7789,grenade,adegnr
7790,gridiron,dginor
7791,grievance,aceginrv
7792,grievous,egiorsuv
7793,grill,gilr
7794,grimace,acegimr
7795,gripe,egipr
7796,gripping,ginpr
7797,grisly,gilrsy
7798,gristle,egilrst
7799,grit,girt
7800,groom,gmor
7801,groove,egorv
7802,grotesque,egoqrstu
7803,grotto,gort
7804,grouch,cghoru
7805,grounded,degnoru
7806,grouse,egorsu
7807,grove,egorv
7808,grovel,eglorv
7809,growl,glorw
7810,grudge,degru
7811,grueling,egilnru
7812,gruesome,egmorsu
7813,gruff,fgru
7814,grumble,beglmru
7815,grumpy,gmpruy
7816,guffaw,afguw
7817,guile,egilu
7818,guileless,egilsu
7819,guillotine,egilnotu
7820,guise,egisu
7821,gulch,cghlu
7822,gull,glu
7823,gullible,begilu
7824,gully,gluy
7825,gulp,glpu
7826,guru,gru
7827,gush,ghsu
7828,gusher,eghrsu
7829,gust,gstu
7830,gustation,aginostu
7831,gustatory,agorstuy
7832,gusto,gostu
7833,gutless,eglstu
7834,gutter,egrtu
7835,guttle,egltu
7836,guzzle,egluz
7837,gynaecocracy,acegnory
7838,gyrate,aegrty
7839,habitable,abehilt
7840,habituate,abehitu
7841,hack,achk
7842,hackneyed,acdehkny
7843,haft,afht
7844,haggard,adghr
7845,haggle,aeghl
7846,halcyon,achlnoy
7847,hale,aehl
7848,halfhearted,adefhlrt
7849,hallmark,ahklmr
7850,hallow,ahlow
7851,hallowed,adehlow
7852,hallucination,achilnotu
7853,halo,ahlo
7854,halting,aghilnt
7855,hamstring,aghimnrst
7856,hangar,aghnr
7857,hangdog,adghno
7858,hanker,aehknr
7859,hankering,aeghiknr
7860,haphazard,adhprz
7861,harangue,aeghnru
7862,harass,ahrs
7863,harbinger,abeghinr
7864,hardbitten,abdehinrt
7865,hardheaded,adehr
7866,hardihood,adhior
7867,hardy,adhry
7868,harp,ahpr
7869,harpsichord,acdhioprs
7870,harridan,adhinr
7871,harrow,ahorw
7872,harrowing,aghinorw
7873,harry,ahry
7874,harshly,ahlrsy
7875,hassle,aehls
7876,hasten,aehnst
7877,hatchet,aceht
7878,haughty,aghtuy
7879,haunt,ahntu
7880,hauteur,aehrtu
7881,haven,aehnv
7882,havoc,achov
7883,hawker,aehkrw
7884,hawser,aehrsw
7885,hazardous,adhorsuz
7886,hazy,ahyz
7887,headlong,adeghlno
7888,headstrong,adeghnorst
7889,headway,adehwy
7890,heady,adehy
7891,hearken,aehknr
7892,hearsay,aehrsy
7893,hearten,aehnrt
7894,heartrending,adeghinrt
7895,heavy-handed,-adehnvy
7896,heavy-handedness['hevi'hændidnis],'-[]adehinsvyæ
7897,heckle,cehkl
7898,hectic,cehit
7899,hector,cehort
7900,hedgehog,degho
7901,hedonic,cdehino
7902,hedonism,dehimnos
7903,hedonist,dehinost
7904,heed,deh
7905,hegemony,eghmnoy
7906,heinous,ehinosu
7907,heirloom,ehilmor
7908,heliotrope,ehiloprt
7909,helm,ehlm
7910,helot,ehlot
7911,helve,ehlv
7912,hem,ehm
7913,hemophilia,aehilmop
7914,hemorrhage,aeghmor
7915,hemostat,aehmost
7916,henpecked,cdehknp
7917,hepatitis,aehipst
7918,herald,adehlr
7919,herbaceous,abcehorsu
7920,herbicide,bcdehir
7921,herbivorous,behiorsuv
7922,herdsman,adehmnrs
7923,hereditary,adehirty
7924,heresy,ehrsy
7925,heretic,cehirt
7926,heretical,acehilrt
7927,hermetic,cehimrt
7928,hermit,ehimrt
7929,herpetologist,eghiloprst
7930,heterodox,dehortx
7931,heterogeneous,eghnorstu
7932,hew,ehw
7933,hexagon,aeghnox
7934,heyday,adehy
7935,hiatus,ahistu
7936,hibernate,abehinrt
7937,hidebound,bdehinou
7938,hideous,dehiosu
7939,hie,ehi
7940,hieroglyph,eghilopry
7941,hieroglyphic,ceghilopry
7942,highbrow,bghiorw
7943,hilarious,ahilorsu
7944,hilt,hilt
7945,hinterland,adehilnrt
7946,hippopotamus,ahimopstu
7947,hirsute,ehirstu
7948,hiss,his
7949,histology,ghilosty
7950,histrionic,chinorst
7951,hive,ehiv
7952,hoard,adhor
7953,hoarse,aehors
7954,hoary,ahory
7955,hoax,ahox
7956,hobble,behlo
7957,hodgepodge,deghop
7958,hoe,eho
7959,holocaust,achlostu
7960,holograph,aghlopr
7961,holster,ehlorst
7962,homage,aeghmo
7963,homely,ehlmoy
7964,homeostasis,aehimost
7965,homiletics,cehilmost
7966,homily,hilmoy
7967,homogeneity,eghimnoty
7968,homogenize,eghimnoz
7969,homograph,aghmopr
7970,hone,ehno
7971,honorarium,ahimnoru
7972,hoodwink,dhiknow
7973,hoof,fho
7974,hoop,hop
7975,hormone,ehmnor
7976,horology,ghlory
7977,horrendous,dehnorsu
7978,horrific,cfhior
7979,hortative,aehiortv
7980,horticulture,cehilortu
7981,hospitable,abehilopst
7982,hostility,hilosty
7983,hovel,ehlov
7984,howler,ehlorw
7985,hub,bhu
7986,hubbub,bhu
7987,hubris,bhirsu
7988,huckster,cehkrstu
7989,hue,ehu
7990,huffish,fhisu
7991,huffy,fhuy
7992,hulk,hklu
7993,hull,hlu
7994,humane,aehmnu
7995,humdrum,dhmru
7996,humility,hilmtuy
7997,hunch,chnu
7998,hunk,hknu
7999,hunker,ehknru
8000,hurdle,dehlru
8001,hurtle,ehlrtu
8002,husbandry,abdhnrsuy
8003,hush,hsu
8004,husk,hksu
8005,husky,hksuy
8006,hybrid,bdhiry
8007,hydrant,adhnrty
8008,hydrate,adehrty
8009,hygiene,eghiny
8010,hymn,hmny
8011,hyperactivity,acehiprtvy
8012,hyperbole,behlopry
8013,hypertension,ehinoprsty
8014,hyphen,ehnpy
8015,hypnotic,chinopty
8016,hypocrite,cehioprty
8017,hypocritical,achiloprty
8018,hypodermic,cdehimopry
8019,hypotenuse,ehnopstuy
8020,hypothetical,acehilopty
8021,hysteria,aehirsty
8022,icicle,ceil
8023,icing,cgin
8024,icon,cino
8025,iconoclast,acilnost
8026,iconoclastic,acilnost
8027,idol,dilo
8028,idolater,adeilort
8029,idolatrize,adeilortz
8030,idolize,deiloz
8031,idyll,dily
8032,igneous,eginosu
8033,ignoble,begilno
8034,ignominious,gimnosu
8035,ignominy,gimnoy
8036,illegible,begil
8037,illegitimate,aegilmt
8038,illiberal,abeilr
8039,illicit,cilt
8040,illuminati,ailmntu
8041,illusive,eilsuv
8042,illusory,ilorsuy
8043,illustrious,ilorstu
8044,imbecile,bceilm
8045,imbibe,beim
8046,imbroglio,bgilmor
8047,imbue,beimu
8048,imitative,aeimtv
8049,immaculate,aceilmtu
8050,immanent,aeimnt
8051,immemorial,aeilmor
8052,immensity,eimnsty
8053,imminent,eimnt
8054,immolate,aeilmot
8055,immortal,ailmort
8056,immunity,imntuy
8057,immunize,eimnuz
8058,immure,eimru
8059,imp,imp
8060,impale,aeilmp
8061,impalpable,abeilmp
8062,impartial,ailmprt
8063,impasse,aeimps
8064,impassioned,adeimnops
8065,impassive,aeimpsv
8066,impeach,acehimp
8067,impeccable,abceilmp
8068,impecunious,ceimnopsu
8069,impede,deimp
8070,impediment,deimnpt
8071,impel,eilmp
8072,impend,deimnp
8073,impending,degimnp
8074,impenetrable,abeilmnprt
8075,impenitent,eimnpt
8076,imperil,eilmpr
8077,imperious,eimoprsu
8078,impermanent,aeimnprt
8079,impermeability,abeilmprty
8080,impermeable,abeilmpr
8081,impersonate,aeimnoprst
8082,impertinence,ceimnprt
8083,imperturbable,abeilmprtu
8084,impervious,eimoprsuv
8085,impetuous,eimopstu
8086,impinge,egimnp
8087,implant,ailmnpt
8088,implausible,abeilmpsu
8089,implicate,aceilmpt
8090,implode,deilmop
8091,implore,eilmopr
8092,impolitic,cilmopt
8093,imponderable,abdeilmnopr
8094,importune,eimnoprtu
8095,imposing,gimnops
8096,impostor,imoprst
8097,imposture,eimoprstu
8098,impoverish,ehimoprsv
8099,imprecation,aceimnoprt
8100,imprecise,ceimprs
8101,impregnable,abegilmnpr
8102,impresario,aeimoprs
8103,impressed,deimprs
8104,impressionable,abeilmnoprs
8105,imprint,imnprt
8106,impromptu,imoprtu
8107,improvident,deimnoprtv
8108,improvise,eimoprsv
8109,improvised,deimoprsv
8110,imprudent,deimnprtu
8111,impudent,deimnptu
8112,impugn,gimnpu
8113,impuissance,aceimnpsu
8114,impulsive,eilmpsuv
8115,impunity,imnptuy
8116,imputation,aimnoptu
8117,impute,eimptu
8118,inadvertence,acdeinrtv
8119,inadvertently,adeilnrtvy
8120,inalienable,abeiln
8121,inane,aein
8122,inanimate,aeimnt
8123,inappreciable,abceilnpr
8124,inaugural,agilnru
8125,inaugurate,aeginrtu
8126,inborn,binor
8127,incandescence,acdeins
8128,incantation,acinot
8129,incarcerate,aceinrt
8130,incarnate,aceinrt
8131,incendiary,acdeinry
8132,incense,ceins
8133,inception,ceinopt
8134,incertitude,cdeinrtu
8135,incessant,aceinst
8136,inchoate,acehinot
8137,incinerate,aceinrt
8138,incipient,ceinpt
8139,incise,ceins
